"FILENAME"	"GIVENNAME"	"EXPERIMENT"	"MONTH"	"CELLTYPE"	"LOCATION"	"MISC"
"188"	NA	NA	NA	NA	NA	NA	NA
"189"	NA	NA	NA	NA	NA	NA	NA
"190"	NA	NA	NA	NA	NA	NA	NA
"191"	NA	NA	NA	NA	NA	NA	NA
"192"	NA	NA	NA	NA	NA	NA	NA
"193"	NA	NA	NA	NA	NA	NA	NA
"194"	NA	NA	NA	NA	NA	NA	NA
"195"	NA	NA	NA	NA	NA	NA	NA
"196"	NA	NA	NA	NA	NA	NA	NA
"197"	NA	NA	NA	NA	NA	NA	NA
"198"	"zj31040915PBFGrrepeatCD88R3.fastq"	"8.5m PB Gr rep"	"8hm_BM"	8.5	"Gr"	"PB"	"rep"
"199"	NA	NA	NA	NA	NA	NA	NA
"200"	NA	NA	NA	NA	NA	NA	NA
"201"	NA	NA	NA	NA	NA	NA	NA
"202"	NA	NA	NA	NA	NA	NA	NA
"203"	NA	NA	NA	NA	NA	NA	NA
"204"	"zj318hmPBBCD94R33.fastq"	"8.5m PB B"	"8hm_BM"	8.5	"B"	"PB"	""
"205"	"zj318hmPBMonoCD94R34.fastq"	"8.5m PB Mono"	"8hm_BM"	8.5	"Mono"	"PB"	""
"206"	NA	NA	NA	NA	NA	NA	NA
"207"	NA	NA	NA	NA	NA	NA	NA
"208"	"zj318hmPBTCD94R32.fastq"	"8.5m PB T"	"8hm_BM"	8.5	"T"	"PB"	""
"209"	NA	NA	NA	NA	NA	NA	NA
"210"	NA	NA	NA	NA	NA	NA	NA
"211"	NA	NA	NA	NA	NA	NA	NA
"212"	NA	NA	NA	NA	NA	NA	NA
"213"	NA	NA	NA	NA	NA	NA	NA
"214"	NA	NA	NA	NA	NA	NA	NA
"215"	NA	NA	NA	NA	NA	NA	NA
"216"	NA	NA	NA	NA	NA	NA	NA
"217"	NA	NA	NA	NA	NA	NA	NA
"218"	"R24_zj31_9hm_PB_B.fastq"	"9.5m PB B"	"CD99"	9.5	""	""	""
"219"	NA	NA	NA	NA	NA	NA	NA
"220"	NA	NA	NA	NA	NA	NA	NA
"221"	NA	NA	NA	NA	NA	NA	NA
"222"	NA	NA	NA	NA	NA	NA	NA
"223"	"zj31_9hm_PB_Gr_CD33p_GFPnp_R22_COMBINEDCD99CD100.fastq"	"9.5m PB Gr CD33+GFP-/+ cbdCD99CD100"	"TIMEPOINT"	9.5	"Gr"	"PB"	"cbd_CD99CD100"
"224"	NA	NA	NA	NA	NA	NA	NA
